News_ID,Website,Category,Headline,URL,Top_Image,Date,author
7197,times of india,['entertainment'],Ileana D'Cruz to Tiger Shroff: B-town celebs opt for masks with quirky messages,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/ileana-dcruz-to-tiger-shroff-b-town-celebs-opt-for-masks-with-quirky-messages/photostory/78679290.cms,https://static.toiimg.com/photo/78679290.cms,2020-10-15 15:31:33+05:30,[]
7198,times of india,['entertainment'],Sana Khan to Zaira Wasim: Celebs who left showbiz for a spiritual calling,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/sana-khan-to-zaira-wasim-celebs-who-left-showbiz-for-a-spiritual-calling/photostory/78677339.cms,https://static.toiimg.com/photo/78677473.cms,2020-10-15 13:36:58+05:30,[]
7199,times of india,['entertainment'],"World Food Day! Ranbir Kapoor, Sara Ali Khan to Hrithik Roshan: 5 celebs who can’t do without junk food",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/world-food-day-ranbir-kapoor-sara-ali-khan-to-hrithik-roshan-5-celebs-who-cant-do-without-junk-food/photostory/78683615.cms,https://static.toiimg.com/photo/78683738.cms,2020-10-16 09:00:00+05:30,[]
7200,times of india,['entertainment'],Sushant Singh Rajput's sister Shweta reactivates her Twitter account; clarifies 'multiple login attempts were being made',https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/sushant-singh-rajputs-sister-shweta-reactivates-her-twitter-account-clarifies-multiple-login-attempts-were-being-made/articleshow/78664913.cms,"https://static.toiimg.com/thumb/msid-78664976,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-78623/78664976.jpg",,[]
7201,times of india,['entertainment'],‘Unfair & Lovely’: Ileana D’Cruz and Randeep Hooda roped in for Balwinder Singh Janjua’s debut directorial,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/unfair-lovely-ileana-dcruz-and-randeep-hooda-roped-in-for-balwinder-singh-janjuas-debut-directorial/articleshow/78676666.cms,"https://static.toiimg.com/thumb/msid-78676666,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-651694/78676666.jpg",,[]
7202,times of india,['entertainment'],"Babil Khan cherishes memories of his late father Irrfan Khan says, 'I love the way you shake my soul still'",https://timesofindia.indiatimes.com/entertainment/hindi/babil-khan-cherishes-memories-of-his-late-father-irrfan-khan-says-i-love-the-way-you-shake-my-soul-still/videoshow/78673772.cms,https://timesofindia.indiatimes.com/photo/78673772/size-1189567/78673772.jpg,,[]
7203,times of india,['entertainment'],Sushant Singh Rajput case: Did the CBI team visit late Disha Salian’s fiancé Rohan Rai’s home?,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/sushant-singh-rajput-case-did-the-cbi-team-visit-late-disha-salians-fianc-rohan-rais-home/articleshow/78679795.cms,"https://static.toiimg.com/thumb/msid-78679799,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-128241/78679799.jpg",,[]
7204,times of india,['entertainment'],Ranbir Kapoor and Ranveer Singh snapped around town,https://timesofindia.indiatimes.com/entertainment/hindi/ranbir-kapoor-and-ranveer-singh-snapped-around-town/videoshow/78693759.cms,https://timesofindia.indiatimes.com/photo/78693759/size-751974/78693759.jpg,,[]
7205,times of india,['entertainment'],Mom-to-be Kareena Kapoor Khan shares a stunning picture with team as she celebrates her last day on the sets of 'Laal Singh Chaddha',https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/mom-to-be-kareena-kapoor-khan-shares-a-stunning-picture-with-team-as-she-celebrates-her-last-day-on-the-sets-of-laal-singh-chaddha/articleshow/78663592.cms,"https://static.toiimg.com/thumb/msid-78663574,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-363542/78663574.jpg",,[]
7206,times of india,['entertainment'],Throwback Thursday: Sushant Singh Rajput's 'Kedarnath' to Ajay Devgn's 'Tanhaji' - Here's how much these film slated for re-releases earned at the box office,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/throwback-thursday-sushant-singh-rajputs-kedarnath-to-ajay-devgns-tanhaji-find-out-how-much-these-re-releasing-films-earned-at-the-box-office/photostory/78676065.cms,https://static.toiimg.com/photo/78676065.cms,2020-10-15 12:04:17+05:30,[]
